playerID,yearID,AB,R,H,2B,3B,HR,RBI,BB,SO,IBB,HBP,SF,OBP,SLG,OPS,BAbip,lgOBP,lgSLG,OPS+
arencjp01,2011,443,47,97,20,4,23,78,36,133,3,4,3,0.282,0.438,0.72,0.255,0.321,0.399,98
arencjp01,2012,347,45,81,16,0,18,56,18,108,1,3,3,0.275,0.435,0.71,0.281,0.319,0.405,94
arencjp01,2013,474,45,92,18,0,21,55,18,148,0,3,2,0.227,0.365,0.592,0.231,0.318,0.396,64
arencjp01,2014,203,20,36,9,0,10,35,10,62,0,7,2,0.239,0.369,0.608,0.195,0.314,0.386,72
ariasal01,1999,347,43,105,20,1,4,48,36,31,6,4,2,0.373,0.401,0.773,0.322,0.345,0.434,101
ariasal01,2000,155,17,29,9,0,2,15,16,28,2,3,3,0.271,0.284,0.555,0.211,0.345,0.437,44
ariasal01,2001,137,19,31,9,0,2,12,17,22,1,1,2,0.312,0.336,0.648,0.252,0.332,0.427,73
ariasge01,1999,164,20,40,8,0,7,20,6,54,0,0,0,0.271,0.421,0.691,0.32,0.345,0.434,76
ariasjo01,2008,110,15,32,7,3,0,9,7,12,0,2,0,0.345,0.409,0.754,0.327,0.333,0.416,102
ariasjo01,2012,319,30,86,13,5,5,34,13,44,4,5,5,0.304,0.389,0.693,0.295,0.319,0.405,91
ariasjo01,2013,225,17,61,9,2,1,19,4,33,1,1,2,0.284,0.342,0.627,0.311,0.318,0.396,76
ariasjo01,2014,193,18,49,9,0,0,15,8,23,2,0,2,0.281,0.301,0.581,0.285,0.314,0.386,67
arroych01,2017,125,9,24,5,0,3,14,8,32,1,1,1,0.244,0.304,0.548,0.231,0.324,0.426,47
ascheco01,2013,162,18,38,8,1,5,22,15,43,3,1,1,0.302,0.389,0.691,0.287,0.318,0.396,93
ascheco01,2014,397,43,100,25,0,10,46,33,102,4,0,1,0.309,0.39,0.699,0.315,0.314,0.386,99
ascheco01,2015,425,41,104,22,3,12,39,26,111,3,4,1,0.294,0.395,0.689,0.304,0.317,0.405,90
ascheco01,2016,197,22,42,15,0,4,18,18,54,0,2,1,0.284,0.35,0.635,0.271,0.322,0.417,72
asuajca01,2017,307,28,83,14,1,4,21,28,76,0,2,1,0.334,0.362,0.696,0.346,0.324,0.426,88
asuajca01,2018,189,15,37,8,1,2,19,24,46,1,1,3,0.286,0.28,0.566,0.243,0.318,0.409,58
atkinga01,2005,519,62,149,31,1,13,89,45,72,1,5,4,0.347,0.426,0.773,0.311,0.33,0.419,107
atkinga01,2006,602,117,198,48,1,29,120,79,76,6,7,7,0.409,0.556,0.965,0.335,0.337,0.432,150
atkinga01,2007,605,83,182,35,1,25,111,67,96,3,2,10,0.367,0.486,0.853,0.318,0.336,0.423,124
atkinga01,2008,611,86,175,32,3,21,99,40,100,0,3,10,0.328,0.452,0.78,0.308,0.333,0.416,107
atkinga01,2009,354,37,80,12,1,9,48,41,58,2,2,2,0.308,0.342,0.65,0.246,0.333,0.418,74
